πύργοι κατηρείποντο, τοὶ δὲ λοισθίαν	-- u---u - u -u-	iambic trimeter (tragic)	
νήχοντο μοῖραν προὐμμάτων δεδορκότες.	--u -- -u- u-u-	iambic trimeter (tragic)	
φηγὸν δὲ καὶ δρύκαρπα καὶ γλυκὺν βότρυν	-- u - u-u - u- u-	iambic trimeter (tragic)	
φάλλαι τε καὶ δελφῖνες αἵ τ᾽ἐπ᾽ ἀρσένων	-- u - --u - u -u-	iambic trimeter (tragic)	
φέρβοντο φῶκαι λέκτρα θουρῶσαι βροτῶν.	--u -- -u --- u-	iambic trimeter (tragic)	
λεύσσω θέοντα γρυνὸν ἐπτερωμένον	-- u-u -u -u-u-	iambic trimeter (tragic)	
τρήρωνος εἰς ἅρπαγμα Πεφναίας κυνός,	--u - --u --- u-	iambic trimeter (tragic)	
ἣν τόργος ὑγρόφοιτος ἐκλοχεύεται,	- -u -u-u -u-u-	iambic trimeter (tragic)	
κελυφάνου στρόβιλον ὠστρακωμένην.	u-u- u-u -u-u-	iambic trimeter (tragic)	
καὶ δή σε ναύτην Ἁχερουσία τρίβος	- - u -- -u-u- u-	iambic trimeter (tragic)	
καταιβάτις πύγαργον, οὐ πατρὸς κόπρους	u-u- u-u - u- u-	iambic trimeter (tragic)	
στείβοντα ῥακτῶν βουστάθμων, ξενώσεται,	--u -- -u- u-u-	iambic trimeter (tragic)	
ὡς πρόσθε, κάλλους τὸν θυωρίτην τριπλαῖς.	- -u -- - u-u- u-	iambic trimeter (tragic)	
ἀλλ᾽ ὀστρίμων μὲν ἀντὶ Γαμφηλὰς ὄνου	- -u- u -u --- u-	iambic trimeter (tragic)	
καὶ Λᾶν περάσεις, ἀντὶ δ᾽εὐχίλου κάπης	- - u-- -u -u- u-	iambic trimeter (tragic)	
καὶ μηλιαυθμῶν ἠδὲ χερσαίας πλάτης	- -u-- -u --- u-	iambic trimeter (tragic)	
τράμπις σ᾽ὀχήσει καὶ Φερέκλειοι πόδες	-- u-- - u--- u-	iambic trimeter (tragic)	
δισσὰς σαλάμβας κἀπὶ Γυθείου πλάκας,	-- u-- -u --- u-	iambic trimeter (tragic)	
ἐν αἷσι πρὸς κύνουρα καμπύλους σχάσας	u -u - u-u -u- u-	iambic trimeter (tragic)	
πεύκης ὀδόντας, ἕκτορας πλημμυρίδος,	-- u-u -u- --u-	iambic trimeter (tragic)	
σκαρθμῶν ἰαύσεις εἰναφώσσωνα στόλον.	-- u-- -u--- u-	iambic trimeter (tragic)	
καὶ τὴν ἄνυμφον πόρτιν ἁρπάσας λύκος,	- - u-- -u -u- u-	iambic trimeter (tragic)	
δυοῖν πελειαῖν ὠρφανισμένην γονῆς	u- u-- -u-u- u-	iambic trimeter (tragic)	
καὶ δευτέραν εἰς ἄρκυν ὀθνείων βρόχων	- -u- - -u --- u-	iambic trimeter (tragic)	
ληῖτιν ἐμπταίσασαν ἰξευτοῦ πτερῷ,	--u ---u --- u-	iambic trimeter (tragic)	
