πρῶνα κοινὸν αἴας.	-u -u --	lyric	
λέκτρα δʼ ἀνδρῶν πόθῳ	-u -- u-	lyric	
πίμπλαται δακρύμασιν·	-u- u-u-	lyric	
Περσίδες δʼ ἁβροπενθεῖς ἑκά-	-u- -u-- u-	lyric	
στα πόθῳ φιλάνορι	- u- u-u-	lyric	
τὸν αἰχμάεντα θοῦρον εὐνα-	u ---u -u --	lyric	
τῆρʼ ἀποπεμψαμένα	- uu-uu-	lyric	
λείπεται μονόζυξ.	-u- u--	lyric	
ἀλλʼ ἄγε, Πέρσαι, τόδʼ ἐνεζόμενοι	- uu -- u u-uu-	anapaestic	
στέγος ἀρχαῖον,	uu ---	anapaestic	
φροντίδα κεδνὴν καὶ βαθύβουλον	-uu -- - uu--	anapaestic	
θώμεθα, χρεία δὲ προσήκει.	-uu -- u u--	lyric	
πῶς ἄρα πράσσει Ξέρξης βασιλεὺς	- uu -- -- uu-	anapaestic	
Δαρειογενής,	--uu-	anapaestic	
τὸ πατρωνύμιον γένος ἡμέτερον·	u u-uu- uu -uu-	anapaestic	
πότερον τόξου ῥῦμα τὸ νικῶν,	uu- -- -u u --	anapaestic	
ἢ δορικράνου	- uu--	anapaestic	
λόγχης ἰσχὺς κεκράτηκεν.	-- -- uu--	lyric	
ἀλλʼ ἥδε θεῶν ἴσον ὀφθαλμοῖς	- -u u- uu ---	anapaestic	
φάος ὁρμᾶται μήτηρ βασιλέως,	uu --- -- uu-	anapaestic	
βασίλεια δʼ ἐμή· προσπίτνω·	uu-u u- ---	lyric	
καὶ προσφθόγγοις δὲ χρεὼν αὐτὴν	- --- u u- --	anapaestic	
πάντας μύθοισι προσαυδᾶν.	-- --u u--	lyric	
ὦ βαθυζώνων ἄνασσα Περσίδων ὑπερτάτη,	- u--- u-u -u- u-u-	lyric	
μῆτερ ἡ Ξέρξου γεραιά, χαῖρε, Δαρείου γύναι·	-u - -- u-u -u --- u-	lyric	
θεοῦ μὲν εὐνάτειρα Περσῶν, θεοῦ δὲ καὶ μήτηρ ἔφυς,	- u ---u -- u- u - -- u-	lyric	
εἴ τι μὴ δαίμων παλαιὸς νῦν μεθέστηκε στρατῷ.	- u - -- u-- - u--- u-	lyric	
ταῦτα δὴ λιποῦσʼ ἱκάνω χρυσεοστόλμους δόμους	-u - u- u-- -u--- u-	lyric	
καὶ τὸ Δαρείου τε κἀμὸν κοινὸν εὐνατήριον.	- u --- u -- -u ---u-	lyric	
κἀμὲ καρδίαν ἀμύσσει φροντίς· ἐς δʼ ὑμᾶς ἐρῶ	-u -u- u-- -u - -- u-	lyric	
μῦθον οὐδαμῶς ἐμαυτῆς οὖσʼ ἀδείμαντος, φίλοι,	-u -u- u-- - u--- u-	lyric	
μὴ μέγας πλοῦτος κονίσας οὖδας ἀντρέψῃ ποδὶ	- u- -- u-u -u --- u-	lyric	
ὄλβον, ὃν Δαρεῖος ἦρεν οὐκ ἄνευ θεῶν τινος.	-u - --u -u - u- u- u-	lyric	
ταῦτά μοι διπλῆ μέριμνα φραστός ἐστιν ἐν φρεσίν,	-u - u- u-u -u -u - u-	lyric	
μήτε χρημάτων ἀνάνδρων πλῆθος ἐν τιμῇ σέβειν	-u -u- u-- -u - -- u-	lyric	
μήτʼ ἀχρημάτοισι λάμπειν φῶς ὅσον σθένος πάρα.	- u-u-u -- - u- u- u-	lyric	
ἔστι γὰρ πλοῦτός γʼ ἀμεμφής, ἀμφὶ δʼ ὀφθαλμῷ φόβος·	-u - -- u-- -u --- u-	lyric	
ὄμμα γὰρ δόμων νομίζω δεσπότου παρουσίαν.	-u - u- u-- -u- u-u-	lyric	
πρὸς τάδʼ ὡς οὕτως ἐχόντων τῶνδε, σύμβουλοι λόγου	- u - -- u-- -u --- u-	lyric	
τοῦδέ μοι γένεσθε, Πέρσαι, γηραλέα πιστώματα·	-u - u-u -- -u- --u-	lyric	
πάντα γὰρ τὰ κέδνʼ ἐν ὑμῖν ἐστί μοι βουλεύματα.	-u - u - u -- -u - --u-	lyric	
εὖ τόδʼ ἴσθι, γῆς ἄνασσα τῆσδε, μή σε δὶς φράσαι	- u -u - u-u -u - u - u-	lyric	
